game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,competitor_1,competitor_1_home,competitor_2,competitor_2_home,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,team_1_ml_odds,team_2_ml_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,Over - 2H_line,Over - 2H_odds,Under - 2H_line,Under - 2H_odds,game_startTime_cst,game_date,game_time,away_team_clean,home_team_clean,DC_Game_ID
12133642,Richard Skacelik vs Karel Zeman,GAMEEVENT,/table-tennis/czech-republic/liga-pro/richard-skacelik-karel-zeman-202307020300,U,TABL,2023-07-02 07:00:00,False,False,NO,True,9971644,,15,1688245709909.0,Richard Skacelik,True,Karel Zeman,False,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,,,,,2023-07-02 02:00:00-05:00,2023-07-02,02:00 AM,,,
12133659,Miroslav Klimenta vs Lubor Sulava,GAMEEVENT,/table-tennis/czech-republic/liga-pro/miroslav-klimenta-lubor-sulava-202307020300,U,TABL,2023-07-02 07:00:00,False,False,NO,True,9971644,,15,1688245709797.0,Miroslav Klimenta,True,Lubor Sulava,False,2.5,-120,-2.5,-120,+110,-155,77.5,-120,77.5,-120,,,,,,2023-07-02 02:00:00-05:00,2023-07-02,02:00 AM,Lubor Sulava,Miroslav Klimenta,07022023-Lubor Sulava-Miroslav Klimenta
12133637,Otto Jarkovsky vs Jan Pleskot,GAMEEVENT,/table-tennis/czech-republic/liga-pro/otto-jarkovsky-jan-pleskot-202307020330,U,TABL,2023-07-02 07:30:00,False,False,NO,True,9971644,,15,1688245753859.0,Otto Jarkovsky,True,Jan Pleskot,False,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,,,,,2023-07-02 02:30:00-05:00,2023-07-02,02:30 AM,Jan Pleskot,Otto Jarkovsky,07022023-Jan Pleskot-Otto Jarkovsky
12133640,Kamil Przeczek vs Martin Pavliska,GAMEEVENT,/table-tennis/czech-republic/liga-pro/kamil-przeczek-martin-pavliska-202307020330,U,TABL,2023-07-02 07:30:00,False,False,NO,True,9971644,,15,1688245753763.0,Kamil Przeczek,True,Martin Pavliska,False,3.5,-125,-3.5,-115,+120,-170,75.5,-120,75.5,-120,,,,,,2023-07-02 02:30:00-05:00,2023-07-02,02:30 AM,Martin Pavliska,Kamil Przeczek,07022023-Martin Pavliska-Kamil Przeczek
12133641,Jaroslav Strnad vs Marek Placek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jaroslav-strnad-marek-placek-202307020330,U,TABL,2023-07-02 07:30:00,False,False,NO,True,9971644,,15,1688245753666.0,Jaroslav Strnad,True,Marek Placek,False,7.5,-115,-7.5,-125,+260,-410,72.5,-120,72.5,-120,,,,,,2023-07-02 02:30:00-05:00,2023-07-02,02:30 AM,Marek Placek,Jaroslav Strnad,07022023-Marek Placek-Jaroslav Strnad
12133638,Petr Kmoch Snr vs Josef Koutnik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/petr-kmoch-snr-josef-koutnik-202307020330,U,TABL,2023-07-02 07:30:00,False,False,NO,True,9971644,,15,1688245753949.0,Petr Kmoch Snr,True,Josef Koutnik,False,8.5,-125,-8.5,-115,+300,-480,71.5,-120,71.5,-120,,,,,,2023-07-02 02:30:00-05:00,2023-07-02,02:30 AM,Josef Koutnik,Petr Kmoch Snr,07022023-Josef Koutnik-Petr Kmoch Snr
12133709,Marek Placek vs Ladislav Havel,GAMEEVENT,/table-tennis/czech-republic/liga-pro/marek-placek-ladislav-havel-202307020400,U,TABL,2023-07-02 08:00:00,False,False,NO,True,9971644,,15,1688245771933.0,Marek Placek,True,Ladislav Havel,False,-3.5,-115,3.5,-125,-170,+120,75.5,-120,75.5,-120,,,,,,2023-07-02 03:00:00-05:00,2023-07-02,03:00 AM,Ladislav Havel,Marek Placek,07022023-Ladislav Havel-Marek Placek
12133708,Josef Koutnik vs Miroslav Cyrus,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-koutnik-miroslav-cyrus-202307020400,U,TABL,2023-07-02 08:00:00,False,False,NO,True,9971644,,15,1688245771827.0,Josef Koutnik,True,Miroslav Cyrus,False,-4.5,-120,4.5,-120,-205,+145,75.5,-120,75.5,-120,,,,,,2023-07-02 03:00:00-05:00,2023-07-02,03:00 AM,Miroslav Cyrus,Josef Koutnik,07022023-Miroslav Cyrus-Josef Koutnik
12133639,Jan Pleskot vs Lubor Sulava,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-pleskot-lubor-sulava-202307020400,U,TABL,2023-07-02 08:00:00,False,False,NO,True,9971644,,15,1688245771736.0,Jan Pleskot,True,Lubor Sulava,False,0.5,-125,-0.5,-115,-120,-120,80.5,-120,80.5,-120,,,,,,2023-07-02 03:00:00-05:00,2023-07-02,03:00 AM,Lubor Sulava,Jan Pleskot,07022023-Lubor Sulava-Jan Pleskot
12133648,Martin Pavliska vs Karel Zeman,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-pavliska-karel-zeman-202307020400,U,TABL,2023-07-02 08:00:00,False,False,NO,True,9971644,,15,1688245772022.0,Martin Pavliska,True,Karel Zeman,False,-2.5,-120,2.5,-120,-155,+110,75.5,-120,75.5,-120,,,,,,2023-07-02 03:00:00-05:00,2023-07-02,03:00 AM,,Martin Pavliska,
