game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,bovada_home_team,bovada_away_team,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,team_1_ml_odds,team_2_ml_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,cst_game_startTime,cst_game_date,cst_game_time,away_team_clean,home_team_clean,DC_Game_ID
12158272,Josef Koutnik vs Pavel Zdarsa,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-koutnik-pavel-zdarsa-202307081030,U,TABL,2023-07-08 14:30:00,False,False,NO,True,9971644,,7,1688742004633.0,Josef Koutnik,Pavel Zdarsa,,,,,-140,100,76.5,-120,76.5,-120,,2023-07-08 09:30:00-05:00,2023-07-08,09:30 AM,Josef Koutnik,,
12158291,Adam Vitasek vs Ondrej Paril,GAMEEVENT,/table-tennis/czech-republic/liga-pro/adam-vitasek-ondrej-paril-202307081030,U,TABL,2023-07-08 14:30:00,False,False,NO,True,9971644,,15,1688741150909.0,Adam Vitasek,Ondrej Paril,-5.5,-120,5.5,-120,-255,+175,74.5,-120,74.5,-120,,2023-07-08 09:30:00-05:00,2023-07-08,09:30 AM,Adam Vitasek,Ondrej Paril,07082023-Adam Vitasek-Ondrej Paril
12158265,Zdenek Kasinski vs Tomas Donat,GAMEEVENT,/table-tennis/czech-republic/liga-pro/zdenek-kasinski-tomas-donat-202307081030,U,TABL,2023-07-08 14:30:00,False,False,NO,True,9971644,,15,1688741161005.0,Zdenek Kasinski,Tomas Donat,-3.5,-115,3.5,-125,-170,+120,75.5,-120,75.5,-120,,2023-07-08 09:30:00-05:00,2023-07-08,09:30 AM,Zdenek Kasinski,Tomas Donat,07082023-Zdenek Kasinski-Tomas Donat
12158264,Zdenek Bilek vs Lukas Jindrak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/zdenek-bilek-lukas-jindrak-202307081030,U,TABL,2023-07-08 14:30:00,False,False,NO,True,9971644,,15,1688741039974.0,Zdenek Bilek,Lukas Jindrak,3.5,-125,-3.5,-115,+120,-170,75.5,-120,75.5,-120,,2023-07-08 09:30:00-05:00,2023-07-08,09:30 AM,Zdenek Bilek,,
12158291,Adam Vitasek vs Ondrej Paril,GAMEEVENT,/table-tennis/czech-republic/liga-pro/adam-vitasek-ondrej-paril-202307081030,U,TABL,7/8/2023 14:30,0,0,NO,1,9971644,,15,1688740000000.0,Adam Vitasek,Ondrej Paril,-5.5,-120.0,5.5,-120.0,-255.0,175.0,74.5,-120.0,74.5,-120.0,,2023-07-08 09:30:00-05:00,7/8/2023,9:30 AM,Adam Vitasek,Ondrej Paril,07082023-Adam Vitasek-Ondrej Paril
12158272,Josef Koutnik vs Pavel Zdarsa,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-koutnik-pavel-zdarsa-202307081030,U,TABL,7/8/2023 14:30,0,0,NO,1,9971644,,7,1688740000000.0,Josef Koutnik,Pavel Zdarsa,,,,,-140.0,100.0,76.5,-120.0,76.5,-120.0,,2023-07-08 09:30:00-05:00,7/8/2023,9:30 AM,Josef Koutnik,,
12158264,Zdenek Bilek vs Lukas Jindrak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/zdenek-bilek-lukas-jindrak-202307081030,U,TABL,7/8/2023 14:30,0,0,NO,1,9971644,,15,1688740000000.0,Zdenek Bilek,Lukas Jindrak,3.5,-125.0,-3.5,-115.0,120.0,-170.0,75.5,-120.0,75.5,-120.0,,2023-07-08 09:30:00-05:00,7/8/2023,9:30 AM,Zdenek Bilek,,
12158265,Zdenek Kasinski vs Tomas Donat,GAMEEVENT,/table-tennis/czech-republic/liga-pro/zdenek-kasinski-tomas-donat-202307081030,U,TABL,7/8/2023 14:30,0,0,NO,1,9971644,,15,1688740000000.0,Zdenek Kasinski,Tomas Donat,-3.5,-115.0,3.5,-125.0,-170.0,120.0,75.5,-120.0,75.5,-120.0,,2023-07-08 09:30:00-05:00,7/8/2023,9:30 AM,Zdenek Kasinski,Tomas Donat,07082023-Zdenek Kasinski-Tomas Donat
12158263,Michal Zahradka vs Zdenek Bilek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/michal-zahradka-zdenek-bilek-202307081100,U,TABL,2023-07-08 15:00:00,False,False,NO,True,9971644,,15,1688741161050.0,Michal Zahradka,Zdenek Bilek,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,2023-07-08 10:00:00-05:00,2023-07-08,10:00 AM,Michal Zahradka,Zdenek Bilek,07082023-Michal Zahradka-Zdenek Bilek
12158286,Pavel Kulhanek vs Zdenek Kasinski,GAMEEVENT,/table-tennis/czech-republic/liga-pro/pavel-kulhanek-zdenek-kasinski-202307081100,U,TABL,2023-07-08 15:00:00,False,False,NO,True,9971644,,8,1688742233595.0,Pavel Kulhanek,Zdenek Kasinski,7.5,-120,-7.5,-120,+235,-360,73.5,-120,73.5,-120,,2023-07-08 10:00:00-05:00,2023-07-08,10:00 AM,Pavel Kulhanek,Zdenek Kasinski,07082023-Pavel Kulhanek-Zdenek Kasinski
12158263,Michal Zahradka vs Zdenek Bilek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/michal-zahradka-zdenek-bilek-202307081100,U,TABL,7/8/2023 15:00,0,0,NO,1,9971644,,15,1688740000000.0,Michal Zahradka,Zdenek Bilek,0.5,-125.0,-0.5,-115.0,-120.0,-120.0,76.5,-120.0,76.5,-120.0,,2023-07-08 10:00:00-05:00,7/8/2023,10:00 AM,Michal Zahradka,Zdenek Bilek,07082023-Michal Zahradka-Zdenek Bilek
12158290,Jonas Rak vs Adam Vitasek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jonas-rak-adam-vitasek-202307081100,U,TABL,7/8/2023 15:00,0,0,NO,1,9971644,,12,1688740000000.0,Jonas Rak,Adam Vitasek,1.5,-120.0,-1.5,-120.0,100.0,-140.0,76.5,-120.0,76.5,-120.0,,2023-07-08 10:00:00-05:00,7/8/2023,10:00 AM,,Adam Vitasek,
12158290,Jonas Rak vs Adam Vitasek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jonas-rak-adam-vitasek-202307081100,U,TABL,2023-07-08 15:00:00,False,False,NO,True,9971644,,12,1688741120687.0,Jonas Rak,Adam Vitasek,1.5,-120,-1.5,-120,100,-140,76.5,-120,76.5,-120,,2023-07-08 10:00:00-05:00,2023-07-08,10:00 AM,,Adam Vitasek,
12158286,Pavel Kulhanek vs Zdenek Kasinski,GAMEEVENT,/table-tennis/czech-republic/liga-pro/pavel-kulhanek-zdenek-kasinski-202307081100,U,TABL,7/8/2023 15:00,0,0,NO,1,9971644,,8,1688740000000.0,Pavel Kulhanek,Zdenek Kasinski,7.5,-120.0,-7.5,-120.0,235.0,-360.0,73.5,-120.0,73.5,-120.0,,2023-07-08 10:00:00-05:00,7/8/2023,10:00 AM,Pavel Kulhanek,Zdenek Kasinski,07082023-Pavel Kulhanek-Zdenek Kasinski
12158288,Jan Ruzicka vs Josef Koutnik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-ruzicka-josef-koutnik-202307081100,U,TABL,7/8/2023 15:00,0,0,NO,1,9971644,,15,1688740000000.0,Jan Ruzicka,Josef Koutnik,0.5,-125.0,-0.5,-115.0,-120.0,-120.0,76.5,-120.0,76.5,-120.0,,2023-07-08 10:00:00-05:00,7/8/2023,10:00 AM,Jan Ruzicka,Josef Koutnik,07082023-Jan Ruzicka-Josef Koutnik
12158288,Jan Ruzicka vs Josef Koutnik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-ruzicka-josef-koutnik-202307081100,U,TABL,2023-07-08 15:00:00,False,False,NO,True,9971644,,15,1688741120657.0,Jan Ruzicka,Josef Koutnik,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,2023-07-08 10:00:00-05:00,2023-07-08,10:00 AM,Jan Ruzicka,Josef Koutnik,07082023-Jan Ruzicka-Josef Koutnik
