0,1,2,3,4,5,6,7,8,9
" Saturday, June 3",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 HOU Gamblers PIT Maulers,-3+3,29%71%,71%29%,Ov 43Un 43,5%95%,35%65%,-155+135,96%4%,87%13%
 PHI Stars BIR Stallions,+6-6,51%49%,50%50%,Ov 46Un 46,69%31%,75%25%,+185-215,27%73%,13%87%
" Sunday, June 4",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 Memphis Showboats NJ Generals,+2-2,14%86%,66%34%,Ov 41Un 41,27%73%,46%54%,+110-130,44%56%,68%32%
 MI Panthers NO Breakers,+3.5-3.5,36%64%,30%70%,Ov 43Un 43,3%97%,40%60%,+140-165,58%42%,7%93%
