0,1,2,3,4,5,6,7,8,9
" Thursday, June 1",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 CON Sun MIN Lynx,-6+6,54%  46%,64%  36%,Ov 160Un 160,15%  85%,34%  66%,-250+210,66%34%,72%28%
" Friday, June 2",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 NY Liberty CHI Sky,-10.5+10.5,32%68%,53%47%,Ov 161.5Un 161.5,18%82%  ,57%43%,-720+520,31%  69%,80%20%
 DAL Wings WAS Mystics,+7-7,13%87%,55%45%,Ov 163.5Un 163.5,90%10%,76%24%,+235-280,43%57%,28%72%
 LV Aces ATL Dream,-11+11,92%  8%,59%41%  ,Ov 171.5Un 171.5,81%19%,56%  44%,-750+550,74%26%,82%18%
 LA Sparks PHO Mercury,+3-3,75%25%,52%48%,Ov 163Un 163,52%48%,63%  37%,+135-155,84%16%,52%48%  
