end_date,p_wt,t_wt,success_rate
12/31/2022,0.0,1.0,0.537712895377129
12/31/2022,0.01,0.99,0.5352798053527981
12/31/2022,0.02,0.98,0.5304136253041363
12/31/2022,0.03,0.97,0.5352798053527981
12/31/2022,0.04,0.96,0.5352798053527981
12/31/2022,0.05,0.95,0.537712895377129
12/31/2022,0.06,0.94,0.5304136253041363
12/31/2022,0.07,0.9299999999999999,0.5279805352798054
12/31/2022,0.08,0.92,0.5304136253041363
12/31/2022,0.09,0.91,0.5182481751824818
12/31/2022,0.1,0.9,0.51338199513382
12/31/2022,0.11,0.89,0.5060827250608273
12/31/2022,0.12,0.88,0.5012165450121655
12/31/2022,0.13,0.87,0.49635036496350365
12/31/2022,0.14,0.86,0.48661800486618007
12/31/2022,0.15,0.85,0.49148418491484186
12/31/2022,0.16,0.84,0.48175182481751827
12/31/2022,0.17,0.83,0.48175182481751827
12/31/2022,0.18,0.8200000000000001,0.4744525547445255
12/31/2022,0.19,0.81,0.4768856447688564
12/31/2022,0.2,0.8,0.4744525547445255
12/31/2022,0.21,0.79,0.4793187347931874
12/31/2022,0.22,0.78,0.4793187347931874
12/31/2022,0.23,0.77,0.48418491484184917
12/31/2022,0.24,0.76,0.48418491484184917
12/31/2022,0.25,0.75,0.48418491484184917
12/31/2022,0.26,0.74,0.48418491484184917
12/31/2022,0.27,0.73,0.48418491484184917
12/31/2022,0.28,0.72,0.48661800486618007
12/31/2022,0.29,0.71,0.48661800486618007
12/31/2022,0.3,0.7,0.48661800486618007
12/31/2022,0.31,0.69,0.48175182481751827
12/31/2022,0.32,0.6799999999999999,0.48175182481751827
12/31/2022,0.33,0.6699999999999999,0.48418491484184917
12/31/2022,0.34,0.6599999999999999,0.4793187347931874
12/31/2022,0.35,0.65,0.4793187347931874
12/31/2022,0.36,0.64,0.4768856447688564
12/31/2022,0.37,0.63,0.48175182481751827
12/31/2022,0.38,0.62,0.4768856447688564
12/31/2022,0.39,0.61,0.48175182481751827
12/31/2022,0.4,0.6,0.48175182481751827
12/31/2022,0.41,0.5900000000000001,0.48175182481751827
12/31/2022,0.42,0.5800000000000001,0.48905109489051096
12/31/2022,0.43,0.5700000000000001,0.48905109489051096
12/31/2022,0.44,0.56,0.48905109489051096
12/31/2022,0.45,0.55,0.48418491484184917
12/31/2022,0.46,0.54,0.48175182481751827
12/31/2022,0.47,0.53,0.4793187347931874
12/31/2022,0.48,0.52,0.4793187347931874
12/31/2022,0.49,0.51,0.4768856447688564
12/31/2022,0.5,0.5,0.4768856447688564
12/31/2022,0.51,0.49,0.4744525547445255
12/31/2022,0.52,0.48,0.48175182481751827
12/31/2022,0.53,0.47,0.4768856447688564
12/31/2022,0.54,0.45999999999999996,0.4768856447688564
12/31/2022,0.55,0.44999999999999996,0.4744525547445255
12/31/2022,0.56,0.43999999999999995,0.4720194647201946
12/31/2022,0.57,0.43000000000000005,0.46958637469586373
12/31/2022,0.58,0.42000000000000004,0.46958637469586373
12/31/2022,0.59,0.41000000000000003,0.46715328467153283
12/31/2022,0.6,0.4,0.45985401459854014
12/31/2022,0.61,0.39,0.45985401459854014
12/31/2022,0.62,0.38,0.45985401459854014
12/31/2022,0.63,0.37,0.45985401459854014
12/31/2022,0.64,0.36,0.45985401459854014
12/31/2022,0.65,0.35,0.45985401459854014
12/31/2022,0.66,0.33999999999999997,0.45985401459854014
12/31/2022,0.67,0.32999999999999996,0.46228710462287104
12/31/2022,0.68,0.31999999999999995,0.46228710462287104
12/31/2022,0.69,0.31000000000000005,0.45985401459854014
12/31/2022,0.7,0.30000000000000004,0.45985401459854014
12/31/2022,0.71,0.29000000000000004,0.45985401459854014
12/31/2022,0.72,0.28,0.45985401459854014
12/31/2022,0.73,0.27,0.46228710462287104
12/31/2022,0.74,0.26,0.46228710462287104
12/31/2022,0.75,0.25,0.46228710462287104
12/31/2022,0.76,0.24,0.46228710462287104
12/31/2022,0.77,0.22999999999999998,0.46228710462287104
12/31/2022,0.78,0.21999999999999997,0.46228710462287104
12/31/2022,0.79,0.20999999999999996,0.45985401459854014
12/31/2022,0.8,0.19999999999999996,0.45742092457420924
12/31/2022,0.81,0.18999999999999995,0.45742092457420924
12/31/2022,0.82,0.18000000000000005,0.45742092457420924
12/31/2022,0.83,0.17000000000000004,0.45742092457420924
12/31/2022,0.84,0.16000000000000003,0.45742092457420924
12/31/2022,0.85,0.15000000000000002,0.45985401459854014
12/31/2022,0.86,0.14,0.45985401459854014
12/31/2022,0.87,0.13,0.45985401459854014
12/31/2022,0.88,0.12,0.45985401459854014
12/31/2022,0.89,0.10999999999999999,0.45985401459854014
12/31/2022,0.9,0.09999999999999998,0.46228710462287104
12/31/2022,0.91,0.08999999999999997,0.45985401459854014
12/31/2022,0.92,0.07999999999999996,0.45985401459854014
12/31/2022,0.93,0.06999999999999995,0.45985401459854014
12/31/2022,0.94,0.06000000000000005,0.45742092457420924
