0,1,2,3,4,5,6,7,8,9
" Thursday, June 1",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 MIA Heat DEN Nuggets,+8.5-8.5,43%57%,52%48%,Ov 219Un 219,69%31%  ,62%38%,+295-360,43%  57%,64%  36%
" Sunday, June 4",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 MIA Heat DEN Nuggets,+9-9,45%55%,53%47%,Ov 214Un 214,49%51%,46%54%,+320-390,32%68%,52%48%
