0,1,2,3,4,5,6,7,8,9
" Saturday, June 10",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 Inter Milan Man City,+1-1.5,7%93%,14%86%,Ov 2.5Un 3,52%48%,93%7%,+600-250,36%64%,31%69%
