gameID,sport,game_time,team1,team1_pred,team2,team2_pred,lastMod_ESPNpred,away_team_clean,home_team_clean,DC_Game_ID
401525465,college-football,2023-09-02 10:30:00,Wofford Terriers,3.6%,Pittsburgh Panthers,96.4%,07/09/2023 10:27:13 PM,Wofford Terriers,Pittsburgh Panthers,09022023-Wofford Terriers-Pittsburgh Panthers
401520176,college-football,2023-08-31 15:00:00,Florida Gators,29.7%,Utah Utes,70.3%,07/09/2023 10:27:13 PM,Florida ,Utah,08312023-Florida -Utah
401531834,college-football,2023-08-31 14:00:00,Rhode Island Rams,5.1%,Georgia State Panthers,94.9%,07/09/2023 10:27:13 PM,Rhode Island Rams,Georgia State Panthers,08312023-Rhode Island Rams-Georgia State Panthers
401520179,college-football,2023-09-02 07:00:00,Virginia Cavaliers,9.6%,Tennessee Volunteers,90.4%,07/09/2023 10:27:14 PM,Virginia,Tennessee,09022023-Virginia-Tennessee
401520150,college-football,2023-09-02 11:00:00,Western Carolina Catamounts,1.0%,Arkansas Razorbacks,99.0%,07/09/2023 10:27:14 PM,Western Carolina Catamounts,Arkansas,09022023-Western Carolina Catamounts-Arkansas
401520171,college-football,2023-09-03 07:00:00,Northwestern Wildcats,47.3%,Rutgers Scarlet Knights,52.7%,07/09/2023 10:27:15 PM,Northwestern,Rutgers,09032023-Northwestern-Rutgers
401520155,college-football,2023-09-02 14:30:00,Toledo Rockets,18.8%,Illinois Fighting Illini,81.2%,07/09/2023 10:27:15 PM,Toledo,Illinois,09022023-Toledo-Illinois
401547408,nfl,2023-09-10 11:25:00,Los Angeles Rams,40.5%,Seattle Seahawks,59.2%,07/09/2023 10:27:15 PM,Los Angeles Rams,Seattle Seahawks,09102023-Los Angeles Rams-Seattle Seahawks
401547396,nfl,2023-09-10 08:00:00,Houston Texans,25.3%,Baltimore Ravens,74.5%,07/09/2023 10:27:16 PM,Houston Texans,Baltimore Ravens,09102023-Houston Texans-Baltimore Ravens
401547353,nfl,2023-09-07 15:20:00,Detroit Lions,33.5%,Kansas City Chiefs,66.2%,07/09/2023 10:27:16 PM,Detroit Lions,Kansas City Chiefs,09072023-Detroit Lions-Kansas City Chiefs
