0,1,2,3,4,5,6,7,8,9
" Saturday, June 3",Goal Line,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 FLA Panthers VGK Golden Knights,+1.5-1.5,41%59%,55%45%,Ov 5.5Un 5.5,69%31%,66%34%,+110-130,59%41%,57%43%
