0,1,2,3,4,5,6,7,8,9
 DAL Cowboys ARI Cardinals,-6.5+6.5,100%0%,91%9%,--,0%0%,0%0%,-265+225,78%22%,87%13%
 PIT Steelers LV Raiders,+1.5-1.5,96%4%,58%42%,--,0%0%,0%0%,+100-120,98%2%,76%24%
" Monday, September 25",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 PHI Eagles TB Buccaneers,-6+6,99%1%,89%11%,--,0%0%,0%0%,-250+210,99%1%,90%10%
 LA Rams CIN Bengals,+7-7,2%98%,33%67%,--,0%0%,0%0%,+255-305,18%82%,9%91%
" Thursday, September 28",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 DET Lions GB Packers,-1.5+1.5,94%6%,93%7%,--,0%0%,0%0%,-120+100,96%4%,71%29%
" Sunday, October 1",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 ATL Falcons JAX Jaguars,+4-4,2%98%,11%89%,--,0%0%,0%0%,+155-180,64%36%,12%88%
 MIA Dolphins BUF Bills,+3.5-3.5,18%82%,50%50%,--,0%0%,0%0%,+150-175,12%88%,44%56%
 BAL Ravens CLE Browns,+1-,100%0%,100%0%,--,0%0%,0%0%,-105-115,65%35%,60%40%
 PIT Steelers HOU Texans,-3.5+3.5,95%5%,88%12%,--,0%0%,0%0%,-175+150,82%18%,75%25%
 LA Rams IND Colts,-1+1,16%84%,50%50%,--,0%0%,0%0%,-115-105,80%20%,60%40%
 CIN Bengals TEN Titans,-4.5+4.5,99%1%,91%9%,--,0%0%,0%0%,-195-,100%0%,100%0%
 WAS Commanders PHI Eagles,+7-7,4%96%,20%80%,--,0%0%,0%0%,+255-305,79%21%,21%79%
 DEN Broncos CHI Bears,-+1.5,0%100%,0%100%,--,0%0%,0%0%,-120+100,9%91%,38%62%
 MIN Vikings CAR Panthers,-1.5+1.5,96%4%,80%20%,--,0%0%,0%0%,-120+100,98%2%,78%22%
 TB Buccaneers NO Saints,+3.5-3.5,1%99%,27%73%,--,0%0%,0%0%,--175,0%100%,0%100%
 LV Raiders LA Chargers,+4.5-4.5,81%19%,50%50%,--,0%0%,0%0%,--205,0%100%,0%100%
 NE Patriots DAL Cowboys,+3.5-3.5,5%95%,42%58%,--,0%0%,0%0%,+150-175,0%100%,7%93%
 ARI Cardinals SF 49ers,+9.5-9.5,2%98%,45%55%,--,0%0%,0%0%,+330-410,29%71%,12%88%
 KC Chiefs NY Jets,-1+1,99%1%,93%7%,--,0%0%,0%0%,-115-105,96%4%,91%9%
" Monday, October 2",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 SEA Seahawks NY Giants,+1-1,47%53%,33%67%,--,0%0%,0%0%,-105-115,99%1%,40%60%
" Thursday, October 5",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 CHI Bears WAS Commanders,+1.5-1.5,97%3%,83%17%,--,0%0%,0%0%,+100-,100%0%,100%0%
" Sunday, October 8",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 JAX Jaguars BUF Bills,+3.5-3.5,72%28%,56%44%,--,0%0%,0%0%,+145-170,81%19%,38%62%
 NY Giants MIA Dolphins,--4.5,0%100%,0%100%,--,0%0%,0%0%,+170-200,20%80%,12%88%
 NO Saints NE Patriots,+3-3,99%1%,55%45%,--,0%0%,0%0%,+130-150,43%57%,25%75%
 BAL Ravens PIT Steelers,-1+1,89%11%,83%17%,--,0%0%,0%0%,-115-105,4%96%,29%71%
 TEN Titans IND Colts,+1-1,98%2%,62%38%,--,0%0%,0%0%,-105-115,74%26%,57%43%
 CAR Panthers DET Lions,+5-5,14%86%,14%86%,--,0%0%,0%0%,+180-210,69%31%,45%55%
 HOU Texans ATL Falcons,+3-3,0%100%,29%71%,--,0%0%,0%0%,+130-150,1%99%,17%83%
 CIN Bengals ARI Cardinals,-7.5+7.5,100%0%,71%29%,--,0%0%,0%0%,-340+280,46%54%,62%38%
 PHI Eagles LA Rams,-4.5+4.5,100%0%,94%6%,--,0%0%,0%0%,-200-,100%0%,100%0%
 NY Jets DEN Broncos,-1+1,97%3%,75%25%,--,0%0%,0%0%,-115-105,62%38%,80%20%
 KC Chiefs MIN Vikings,-4+4,91%9%,64%36%,--,0%0%,0%0%,-190-,100%0%,100%0%
 DAL Cowboys SF 49ers,+2-2,0%100%,33%67%,--,0%0%,0%0%,+105-125,0%100%,14%86%
" Monday, October 9",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 GB Packers LV Raiders,+1.5-1.5,31%69%,50%50%,--,0%0%,0%0%,+100-120,2%98%,21%79%
" Thursday, October 12",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 DEN Broncos KC Chiefs,+7-7,36%64%,46%54%,--,0%0%,0%0%,+255-305,83%17%,42%58%
" Sunday, October 15",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 BAL Ravens TEN Titans,-5.5+5.5,79%21%,81%19%,--,0%0%,0%0%,-215+185,43%57%,67%33%
