end_date,p_wt,t_wt,success_rate
12/31/2022,0.0,1.0,0.5469798657718121
12/31/2022,0.01,0.99,0.5436241610738255
12/31/2022,0.02,0.98,0.5436241610738255
12/31/2022,0.03,0.97,0.5503355704697986
12/31/2022,0.04,0.96,0.5503355704697986
12/31/2022,0.05,0.95,0.5570469798657718
12/31/2022,0.06,0.94,0.5503355704697986
12/31/2022,0.07,0.9299999999999999,0.5436241610738255
12/31/2022,0.08,0.92,0.5469798657718121
12/31/2022,0.09,0.91,0.5335570469798657
12/31/2022,0.1,0.9,0.5268456375838926
12/31/2022,0.11,0.89,0.5268456375838926
12/31/2022,0.12,0.88,0.5201342281879194
12/31/2022,0.13,0.87,0.5167785234899329
12/31/2022,0.14,0.86,0.5067114093959731
12/31/2022,0.15,0.85,0.5134228187919463
12/31/2022,0.16,0.84,0.5067114093959731
12/31/2022,0.17,0.83,0.5033557046979866
12/31/2022,0.18,0.8200000000000001,0.4966442953020134
12/31/2022,0.19,0.81,0.5
12/31/2022,0.2,0.8,0.4966442953020134
12/31/2022,0.21,0.79,0.5
12/31/2022,0.22,0.78,0.5
12/31/2022,0.23,0.77,0.5067114093959731
12/31/2022,0.24,0.76,0.5067114093959731
12/31/2022,0.25,0.75,0.5067114093959731
12/31/2022,0.26,0.74,0.5067114093959731
12/31/2022,0.27,0.73,0.5067114093959731
12/31/2022,0.28,0.72,0.5100671140939598
12/31/2022,0.29,0.71,0.5100671140939598
12/31/2022,0.3,0.7,0.5100671140939598
12/31/2022,0.31,0.69,0.5033557046979866
12/31/2022,0.32,0.6799999999999999,0.5033557046979866
12/31/2022,0.33,0.6699999999999999,0.5067114093959731
12/31/2022,0.34,0.6599999999999999,0.5
12/31/2022,0.35,0.65,0.5
12/31/2022,0.36,0.64,0.4966442953020134
12/31/2022,0.37,0.63,0.5033557046979866
12/31/2022,0.38,0.62,0.5
12/31/2022,0.39,0.61,0.5067114093959731
12/31/2022,0.4,0.6,0.5067114093959731
12/31/2022,0.41,0.5900000000000001,0.5067114093959731
12/31/2022,0.42,0.5800000000000001,0.5167785234899329
12/31/2022,0.43,0.5700000000000001,0.5167785234899329
12/31/2022,0.44,0.56,0.5167785234899329
12/31/2022,0.45,0.55,0.5100671140939598
12/31/2022,0.46,0.54,0.5067114093959731
12/31/2022,0.47,0.53,0.5033557046979866
12/31/2022,0.48,0.52,0.5033557046979866
12/31/2022,0.49,0.51,0.5
12/31/2022,0.5,0.5,0.5
12/31/2022,0.51,0.49,0.4966442953020134
12/31/2022,0.52,0.48,0.5067114093959731
12/31/2022,0.53,0.47,0.5
12/31/2022,0.54,0.45999999999999996,0.5
12/31/2022,0.55,0.44999999999999996,0.4966442953020134
12/31/2022,0.56,0.43999999999999995,0.49328859060402686
12/31/2022,0.57,0.43000000000000005,0.4899328859060403
12/31/2022,0.58,0.42000000000000004,0.4899328859060403
12/31/2022,0.59,0.41000000000000003,0.4865771812080537
12/31/2022,0.6,0.4,0.47651006711409394
12/31/2022,0.61,0.39,0.47651006711409394
12/31/2022,0.62,0.38,0.47651006711409394
12/31/2022,0.63,0.37,0.47651006711409394
12/31/2022,0.64,0.36,0.47651006711409394
12/31/2022,0.65,0.35,0.47651006711409394
12/31/2022,0.66,0.33999999999999997,0.47651006711409394
12/31/2022,0.67,0.32999999999999996,0.4798657718120805
12/31/2022,0.68,0.31999999999999995,0.4798657718120805
12/31/2022,0.69,0.31000000000000005,0.47651006711409394
12/31/2022,0.7,0.30000000000000004,0.47651006711409394
12/31/2022,0.71,0.29000000000000004,0.47651006711409394
12/31/2022,0.72,0.28,0.47651006711409394
12/31/2022,0.73,0.27,0.4798657718120805
12/31/2022,0.74,0.26,0.4798657718120805
12/31/2022,0.75,0.25,0.4798657718120805
12/31/2022,0.76,0.24,0.4798657718120805
12/31/2022,0.77,0.22999999999999998,0.4798657718120805
12/31/2022,0.78,0.21999999999999997,0.4798657718120805
12/31/2022,0.79,0.20999999999999996,0.47651006711409394
12/31/2022,0.8,0.19999999999999996,0.47315436241610737
12/31/2022,0.81,0.18999999999999995,0.47315436241610737
12/31/2022,0.82,0.18000000000000005,0.47315436241610737
12/31/2022,0.83,0.17000000000000004,0.47315436241610737
12/31/2022,0.84,0.16000000000000003,0.47315436241610737
12/31/2022,0.85,0.15000000000000002,0.47651006711409394
12/31/2022,0.86,0.14,0.47651006711409394
12/31/2022,0.87,0.13,0.47651006711409394
12/31/2022,0.88,0.12,0.47651006711409394
12/31/2022,0.89,0.10999999999999999,0.47651006711409394
12/31/2022,0.9,0.09999999999999998,0.4798657718120805
12/31/2022,0.91,0.08999999999999997,0.47651006711409394
12/31/2022,0.92,0.07999999999999996,0.47651006711409394
12/31/2022,0.93,0.06999999999999995,0.47651006711409394
12/31/2022,0.94,0.06000000000000005,0.47315436241610737
12/31/2022,0.95,0.050000000000000044,0.47315436241610737
12/31/2022,0.96,0.040000000000000036,0.47315436241610737
12/31/2022,0.97,0.030000000000000027,0.47315436241610737
12/31/2022,0.98,0.020000000000000018,0.47315436241610737
12/31/2022,0.99,0.010000000000000009,0.47315436241610737
7/1/2022,0.0,1.0,0.511284046692607
7/1/2022,0.01,0.99,0.5120622568093385
7/1/2022,0.02,0.98,0.5159533073929962
7/1/2022,0.03,0.97,0.5136186770428015
7/1/2022,0.04,0.96,0.514396887159533
7/1/2022,0.05,0.95,0.5151750972762645
7/1/2022,0.06,0.94,0.5175097276264592
7/1/2022,0.07,0.9299999999999999,0.5167315175097277
7/1/2022,0.08,0.92,0.51284046692607
